# FSPS SSP GALEX-FUV (nu*L_nu, 1528 A) vs time (Kroupa IMF, Z=0.02)
# Cluster mass: 1e+06 Msun, instantaneous burst
# age_myr  log10_lfuv_total_erg_s
      0.100000      42.196417
      0.112202      42.183532
      0.125893      42.191149
      0.141254      42.183884
      0.158489      42.189449
      0.177828      42.196088
      0.199526      42.183764
      0.223872      42.194521
      0.251189      42.205728
      0.281838      42.187661
      0.316228      42.207335
      0.354813      42.206321
      0.398107      42.208300
      0.446684      42.212538
      0.501187      42.202197
      0.562341      42.213034
      0.630957      42.221280
      0.707946      42.215590
      0.794328      42.238685
      0.891251      42.232451
      1.000000      42.239021
      1.122018      42.242408
      1.258925      42.250093
      1.412538      42.252389
      1.584893      42.259646
      1.778279      42.273144
      1.995262      42.282999
      2.238721      42.300264
      2.511886      42.307229
      2.818383      42.306812
      3.162278      42.313495
      3.548134      42.338745
      3.981072      42.289291
      4.466836      42.185390
      5.011872      42.127149
      5.623413      42.019344
      6.309573      41.906025
      7.079458      41.827439
      7.943282      41.751009
      8.912509      41.671391
     10.000000      41.597391
     11.220185      41.523501
     12.589254      41.448388
     14.125375      41.376829
     15.848932      41.309590
     17.782794      41.245142
     19.952623      41.183941
     22.387211      41.122783
     25.118864      41.062139
     28.183829      41.002396
     31.622777      40.946413
     35.481339      40.889669
     39.810717      40.825684
     44.668359      40.756063
     50.118723      40.692236
     56.234133      40.625485
     63.095734      40.558728
     70.794578      40.490870
     79.432823      40.416106
     89.125094      40.343596
    100.000000      40.268312
