# FSPS SSP bolometric luminosity vs time (Kroupa IMF, Z=0.008)
# Cluster mass: 1e+06 Msun, instantaneous burst
# age_myr  log10_lbol_total_erg_s
      0.100000      42.562170
      0.112202      42.566551
      0.125893      42.558123
      0.141254      42.564083
      0.158489      42.569006
      0.177828      42.563563
      0.199526      42.563609
      0.223872      42.480227
      0.251189      42.559449
      0.281838      42.558957
      0.316228      42.485940
      0.354813      42.551905
      0.398107      42.567284
      0.446684      42.545622
      0.501187      42.555964
      0.562341      42.479302
      0.630957      42.555859
      0.707946      42.574135
      0.794328      42.538679
      0.891251      42.583613
      1.000000      42.499375
      1.122018      42.583197
      1.258925      42.599030
      1.412538      42.613946
      1.584893      42.617476
      1.778279      42.645153
      1.995262      42.638041
      2.238721      42.674876
      2.511886      42.667109
      2.818383      42.667632
      3.162278      42.655180
      3.548134      42.646677
      3.981072      42.680717
      4.466836      42.502670
      5.011872      42.398890
      5.623413      42.312538
      6.309573      42.240928
      7.079458      42.151854
      7.943282      42.061569
      8.912509      41.982399
     10.000000      41.901536
     11.220185      41.825505
     12.589254      41.745196
     14.125375      41.673740
     15.848932      41.589321
     17.782794      41.515787
     19.952623      41.457150
     22.387211      41.387212
     25.118864      41.323902
     28.183829      41.272238
     31.622777      41.225071
     35.481339      41.171623
     39.810717      41.108637
     44.668359      41.055324
     50.118723      41.006185
     56.234133      40.948911
     63.095734      40.887472
     70.794578      40.839536
     79.432823      40.795156
     89.125094      40.746023
    100.000000      40.688070
