# Kroupa IMF
# ntot (mmin,mmax,mcut)/Msol (pmin,pmax)/days (lxmin,lxmax)/ergs/s
100000 0.01 100.0 8.0 0.1 1000.0 33.0 38.0
# n (m1,m2)/M* P/days a/AU (t1,t2)/Myrs (mr1,mr2)/M*
       62      51.8974      20.7138       0.7948       0.0694       4.4639       9.5360      41.2876      17.2715
       63      51.7575      22.3751     603.7411       5.8171       4.4710       8.7814      41.1820      18.5834
       64      51.5141      13.2806       0.6687       0.0595       4.4834      16.7272      40.9982      11.3283
       65      51.3282      12.9836      35.5176       0.8392       4.4929      17.2895      40.8578      11.0877
       66      50.1639      49.2529       0.6273       0.0658       4.5537       4.6029      39.9779      39.2887
       67      48.5967      20.8804       0.2001       0.0273       4.6392       9.4547      38.7918      17.4034
       68      48.4006      23.0331      35.6652       0.8715       4.6502       8.5137      38.6433      19.1015
       69      48.3884      24.9962     170.4411       2.4949       4.6509       7.8013      38.6340      20.6430
       70      48.2025      44.0253       0.1554       0.0253       4.6614       4.9158      38.4932      35.3207
       71      48.0024       7.8135      26.4489       0.6577       4.6728      41.4366      38.3415       6.8481
       72      47.9182       3.2591      30.5623       0.7035       4.6776     312.8339      38.2777       2.9871
       73      47.7315       4.6925       0.1987       0.0247       4.6883     124.5827      38.1362       4.2214
       74      47.7196      18.5545       1.4014       0.0982       4.6890      10.8362      38.1272      15.5585
       75      47.6824      36.1502       5.3930       0.2609       4.6912       5.6744      38.0990      29.2965
       76      47.5454      22.6928       5.9537       0.2627       4.6991       8.6501      37.9951      18.8336
       77      47.3641      16.1951       5.7429       0.2481       4.7096      12.7652      37.8576      13.6748
       78      46.4392      37.3096       3.9763       0.2129       4.7644       5.5219      37.1558      30.1873
       79      46.3001       1.9993       2.6862       0.1364       4.7728    1183.5543      37.0502       1.7887
       80      45.9433      31.7748       0.4466       0.0483       4.7944       6.3424      36.7792      25.9211
       81      45.8325      29.8009       3.6379       0.1939       4.8012       6.7032      36.6951      24.3907
       82      45.8089       4.9914     141.8136       1.9524       4.8027     108.0505      36.6772       4.4761
       83      45.3578      39.4642       0.2740       0.0359       4.8306       5.2608      36.3343      31.8391
       84      44.4073       4.2333     772.8714       5.9595       4.8910     157.9748      35.6115       3.8284
       85      44.3902      15.8920     188.3469       2.4975       4.8921      13.0589      35.5984      13.4319
       86      44.2927      30.4581      52.3566       1.1429       4.8984       6.5782      35.5243      24.9008
       87      44.1473       8.5119       0.9615       0.0708       4.9078      35.2494      35.4136       7.4276
       88      43.8386      25.5533       0.8700       0.0726       4.9281       7.6541      35.1786      21.0793
       89      43.1445      26.9693       0.8545       0.0720       4.9744       7.3061      34.6499      22.1861
       90      43.1274      29.4728       1.6356       0.1123       4.9755       6.7675      34.6369      24.1358
       91      42.8943      14.5758     184.9102       2.4281       4.9914      14.5997      34.4592      12.3740
       92      42.8113      24.1121       0.9334       0.0752       4.9970       8.1073      34.3959      19.9495
       93      42.7963      32.3724      15.5557       0.5098       4.9981       6.2412      34.3845      26.3834
       94      42.6669      28.2808     115.3255       1.9014       5.0069       7.0129      34.2858      23.2085
       95      42.5662      32.9120     173.9175       2.5526       5.0139       6.1529      34.2090      26.8005
       96      42.4712       1.2832       0.1393       0.0184       5.0204    3126.7443      34.1366       0.2207
       97      42.0897       3.7710       5.2991       0.2109       5.0471     211.0632      33.8455       3.4306
       98      41.6040      18.1858       1.1399       0.0827       5.0815      11.1014      33.4749      15.2650
       99      41.2954       9.2526     162.3175       2.1328       5.1038      30.1090      33.2392       8.0396
      100      41.2722       9.5653       6.6724       0.2545       5.1054      28.2769      33.2215       8.2972
      101      40.8634      19.7379     428.6846       4.3290       5.1353      10.0586      32.9092      16.4985
      102      40.7425      14.9548       0.1528       0.0212       5.1442      14.0618      32.8168      12.6791
      103      40.5746       1.9707       2.2112       0.1149       5.1567    1211.4432      32.6884       1.7557
      104      40.3763      15.6323     672.7425       5.6945       5.1715      13.3207      32.5368      13.2235
      105      39.2516       7.3733     258.5974       2.8320       5.2854      46.2329      31.6762       6.4815
      106      39.1349      13.6669       5.4250       0.2245       5.2990      16.0406      31.5869      11.6407
      107      39.1064       5.8261      15.8066       0.4341       5.3023      76.6489      31.5651       5.1835
      108      39.0057       6.4950       9.2165       0.3042       5.3142      60.2195      31.4879       5.7466
      109      38.9086      35.4503     180.6065       2.6046       5.3256       5.7709      31.4135      28.7580
      110      38.7251       6.1341      15.7988       0.4337       5.3474      68.3684      31.2730       5.4431
      111      38.2514       9.6606       0.3019       0.0317       5.4044      27.7522      30.9099       8.3756
      112      37.5319      29.4167       0.4604       0.0469       5.4937       6.7786      30.3579      24.0922
      113      37.5057       1.2796       1.2324       0.0754       5.4970    3145.6439      30.3378       0.2188
      114      37.4817       1.3407      12.0099       0.3442       5.5000    2845.7028      30.3194       0.2845
      115      37.4510      26.8822       0.7259       0.0627       5.5039       7.3265      30.2959      22.1181
      116      37.3967      21.3618       4.2009       0.1962       5.5108       9.2272      30.2542      17.7839
      117      37.3697      30.8917      20.1628       0.5869       5.5143       6.4985      30.2334      25.2369
      118      37.1510       8.0283       0.1165       0.0165       5.5423      39.3670      30.0655       7.0266
      119      36.9444      14.3175       0.9799       0.0710       5.5690      14.9863      29.9068      12.1658
      120      36.8865      36.3899       0.1772       0.0256       5.5765       5.6421      29.8623      29.4808
      121      36.7535       6.9888       2.9891       0.1417       5.5939      51.1818      29.7602       6.1603
      122      36.4564       6.5572      34.3465       0.7177       5.6332      58.9605      29.5319       5.7988
      123      36.3795      15.6707       0.2968       0.0322       5.6435      13.2815      29.4728      13.2543
      124      36.2802       7.8969      75.9563       1.2291       5.6568      40.6131      29.3964       6.9175
      125      36.2079      28.3424       2.2393       0.1331       5.6666       6.9997      29.3408      23.2566
      126      36.1753      35.9372      50.9735       1.1093       5.6710       5.7034      29.3158      29.1326
      127      35.7898      11.5376       0.4078       0.0386       5.7236      20.6640      29.0193       9.9125
      128      35.5892      13.9208     551.8719       4.7892       5.7515      15.6146      28.8649      11.8458
      129      35.5210      22.8333       5.9938       0.2481       5.7610       8.5933      28.8125      18.9442
      130      35.2335       7.6945       5.3638       0.2080       5.8015      42.6545      28.5911       6.7491
      131      35.1960      17.9699       0.1215       0.0179       5.8068      11.2623      28.5622      15.0930
      132      35.1685      19.8970       0.2037       0.0255       5.8108       9.9618      28.5411      16.6247
      133      34.7633      22.7780       0.8556       0.0674       5.8691       8.6156      28.2289      18.9007
      134      34.3133      11.1621      45.1813       0.8777       5.9355      21.7917      27.8821       9.6061
      135      33.9754      25.4418      66.8480       1.2460       5.9864       7.6830      27.6215      20.9920
      136      33.9575      16.8476      16.3682       0.4629       5.9891      12.1720      27.6077      14.1971
      137      33.9552      31.9467     149.0079       2.2008       5.9894       6.3129      27.6059      26.0541
