# Kroupa IMF
# ntot (mmin,mmax,mcut)/Msol (pmin,pmax)/days (lxmin,lxmax)/ergs/s
100000 0.01 100.0 8.0 0.1 1000.0 33.0 39.0
# n (m1,m2)/M* P/days a/AU (t1,t2)/Myrs (mr1,mr2)/M*
1      98.8412      93.8563      48.8144       1.4955       3.3190       3.3800      76.0859      72.4400
2      98.3264       0.6568      23.1343       0.7281       3.3251   48484.4312      75.7098       0.0000
3      94.5583       0.0000       0.0000       0.0000       3.3712 12050027744818292919277434657381038584722620416.0000      72.9541       0.0000
4      93.1468      81.6294     225.6090       4.0167       3.3891       3.5649      71.9203      63.4544
5      92.8422      46.5907      19.1660       0.7199       3.3930       4.7553      71.6972      37.2708
6      91.7241      67.8344      13.9889       0.6104       3.4075       3.8777      70.8776      53.2325
7      89.8739      87.6819      76.5249       1.9639       3.4320       3.4619      69.5203      67.9104
8      88.7211       0.0000       0.0000       0.0000       3.4476 12050027744818292919277434657381038584722620416.0000      68.6739       0.0000
9      88.6648       0.0000       0.0000       0.0000       3.4484 12050027744818292919277434657381038584722620416.0000      68.6326       0.0000
10      88.2754       0.0000       0.0000       0.0000       3.4537 12050027744818292919277434657381038584722620416.0000      68.3465       0.0000
11      88.0888       0.0000       0.0000       0.0000       3.4563 12050027744818292919277434657381038584722620416.0000      68.2094       0.0000
12      85.7260       0.0000       0.0000       0.0000       3.4895 12050027744818292919277434657381038584722620416.0000      66.4722       0.0000
13      82.3985      19.5181     847.2233       8.1075       3.5498      10.1952      64.0215      16.3241
14      80.0753       0.0000       0.0000       0.0000       3.5962 12050027744818292919277434657381038584722620416.0000      62.3075       0.0000
15      79.8865       0.0000       0.0000       0.0000       3.6000 12050027744818292919277434657381038584722620416.0000      62.1681       0.0000
16      78.6212      16.1417    2135.7394      14.6572       3.6263      12.8161      61.2335      13.6320
17      77.2398      72.4147       3.3818       0.2319       3.6556       3.7643      60.2121      56.6372
18      76.8058       0.7100       1.5805       0.1122       3.6649   34898.7199      59.8910       0.0000
19      76.4556       9.8493     377.6615       4.4760       3.6726      26.7567      59.6319       8.5307
20      74.9357      15.2895     102.5750       1.9052       3.7062      13.6813      58.5064      12.9482
21      74.7799       0.0000       0.0000       0.0000       3.7097 12050027744818292919277434657381038584722620416.0000      58.3911       0.0000
